SITO;SPECIE;Numero alberi;Nuova Piantumazione;Sostituzione alberatura esistente;Potatura e Manutenzione
Cimitero Comunale;Cipresso;108;;;
Cimitero Comunale;Yucca monumentale;1;;;
Cimitero Comunale;Bouganvillea;9;;;
Cimitero Comunale;Chamaerops;6;;;
Corso Dante;Leccio ;21;;;
Corso Dante;Pino;1;;;"Potatura di
contenimento di n. 2 aberature di
Oleandro"
Piazzale mercato settimanale;Pino  ;33;;;
Piazzale mercato settimanale;Leccio;31;;;
Piazzale mercato settimanale;Ligustro;10;;;
2^ trav. Via Toselli;Ligustro;10;;;
Isole Sparti traffiico Via Cappuccini ang. Giuliodibari;Albizia;8;;;
Isole Sparti traffiico Via Cappuccini ang. Giuliodibari;Olmo;2;;;
Lungomare Esercito Italiano (Levante );Tamerici;36;;Sostituiti n.5 Tamerici secchi con n.5 Tamerici;
Lungomare Marina italiana (Ponente);Tamerici;123;;Sostituiti n.5 Tamerici secchi con n.5 Tamerici;
Piazza Garibaldi ( Lato IVE);Catalpa ;18;;;
Piazza Garibaldi ( Lato IVE);Robinia;3;;;
Piazza Garibaldi ( Lato prosecuzione Via Piano);Leccio ;17;;;
Piazza Porto;Palma ;1;;;
Piazza Porto;Robinia;7;;;
Piazza Porto;Albizia;7;;;
Piazza Risorgimento;Platano orientale;18;;;
Piazza Vitt. Emanuele II;Prunus pissardii ;42;;;
Piazza Vitt. Emanuele II;Oleandri;42;;Sostituiti n.13 Oleandri secchi con n.13 Oleandri;
Piazzetta ang. Via Milano/Iacobellis;Ligustro;9;;;
Piazzetta Sicolo;Olmi ;2;;;
Piazzetta Sicolo;Pino;1;;;
Piazzetta Spinelli;Tiglio;14;;;
Piazzetta Via Marconi ang. Via G. Sasso (London Pub);Tiglio;15;;;
Piazzette Via Toselli;Cercis ;7;;;
Piazzette Via Toselli;Tiglio;32;;;
Alberature Via B. Lupis (tratto tra Via Toselli a Via A. Daconto);Tiglio;10;;;
Via Bitonto (da Via Napoli a ex ingresso AFP);Albizia;2;;;
Via Bitonto (da Via Napoli a ex ingresso AFP);Tiglio;4;x;;
Via Bitonto (da Via Napoli a ex ingresso AFP);Ailanto;10;;;
Via Cappuccini (zona Mercato Giornaliero e Parco Rimembranze);Leccio ;65;;;
Via Cappuccini (zona Mercato Giornaliero e Parco Rimembranze);Ulivo;2;;;
Via Cappuccini (zona Mercato Giornaliero e Parco Rimembranze);Olmo;11;;;
Via Crocifisso e strada di collegamento ex SS 16;Tamerici;30;;;
Via Crocifisso e strada di collegamento ex SS 16;Cipresso;95;;;
Via Dalmazia (da Via A. Molino a Via Ten. Devenuto);Tiglio;9;;;
Via De Gasperi (liceo classico);Ligustro;4;;;
Via Durazzo;Tamerici ;23;;;
Via Magg. Zeverino;Robinia pseudoacacia;4;;;
Via Marconi + Piazza  S. Agostino;Ailanto;35;;;
Via Marconi + Piazza  S. Agostino;Leccio;28;;;
Via Marconi + Piazza  S. Agostino;Albizia ;2;;;
Via Marconi + Piazza  S. Agostino;Falso pepe;1;;;
Viale De Gaetano;Tiglio;49;;;
Verde 2° trav. XX Settembre (Aiuole );Palma;1;;;
Verde attrezzato Via Ten. Devenuto ang. 2^trav. XX Settembre;Albizia;3;;;
Verde attrezzato Via Ten. Devenuto ang. 2^trav. XX Settembre;Cipresso;3;;;
Verde attrezzato Via Ten. Devenuto ang. 2^trav. XX Settembre;Prunus pissardii;3;;;
Verde attrezzato Via Ten. Devenuto ang. 2^trav. XX Settembre;Palme;3;;;
Verde Campo Sportivo Comunale                                  ;Eucalipto;20;;;
Verde Campo Sportivo Comunale;Ligustro;1;;;
Verde Campo Sportivo Comunale;Pino;16;;;
Verde Campo Sportivo Comunale;Leccio ;2;;;
Verde Campo Sportivo Comunale;Ulivo;11;;;
Via Emily Dikinson;Ulivo;24;;;
Via Emil Dikinson;Falso pepe;5;;;
Via Emil Dikinson;Pino;4;;;
Piazzetta Baden-Powell;Falso pepe ;5;;;
Piazzetta Baden-Powell;Ligustro;4;;;
Piazzetta Baden-Powell;Pino;5;;;
Piazza Kennedy;Olmi;7;;;
Piazza Kennedy;Pino ;2;;;
Piazza Kennedy;Robinia;2;;;
Via Daconto (ponte);Falso pepe;6;;;
Via Daconto (ponte);Ligustro;5;;;
Via Daconto (ponte);Pino;2;;;
Via Daconto (ponte);Falso pepe;16;;;
Via Daconto (ponte);Ligustro;6;;;
Via Daconto (ponte);Yucca ;1;;;
Via Daconto (ponte);Magnolia;1;;;
Via Daconto (ponte);Pino;11;;;
Scuola Elementare Don Saverio Bavaro;Pino;26;;;
Scuola Elementare Don Saverio Bavaro;Biancospino;11;;;
Scuola Elementare Don Saverio Bavaro;Prunus;13;;;
Scuola Elementare Don Saverio Bavaro;Cercis;4;;;
Scuola Elementare Don Saverio Bavaro;Leccio;2;;;
Scuola Elementare Don Saverio Bavaro;Albizia;12;;;
Scuola Elementare Don Saverio Bavaro;Cipresso;1;;;
Scuola Elementare Don Saverio Bavaro;Fico;1;;;
Scuola Elementare Don Saverio Bavaro;Thuya;7;;;
Scuola Elementare Don Saverio Bavaro;Ligustro;2;;;
Scuola Elementare Don Saverio Bavaro;Noce americano;4;;;
Scuola Elementare Don Saverio Bavaro;Ulivo;1;;;
Scuola Elementare Don Saverio Bavaro;Carrubo;1;;;
Scuola Elementare Don Saverio Bavaro;Melograno;1;;;
Scuola Elementare Don Saverio Bavaro;Azzeruolo;1;;;
Scuola Elementare Don Saverio Bavaro;Albicocco;1;;;
Scuola Elementare Don Saverio Bavaro;Corbezzolo;1;;;
Scuola Elementare Don Saverio Bavaro;Eucalipto;1;;;
Scuola Elementare Papa Giovanni XXIII;Tamerici ;37;;;
Scuola Elementare Papa Giovanni XXIII;Pittosporo;10;;;
Scuola Elementare Papa Giovanni XXIII;Pioppo;5;;;
Scuola Elementare Papa Giovanni XXIII;Cedro;2;;;
Scuola Elementare Papa Giovanni XXIII;Pino;1;;;
Scuola Elementare Papa Giovanni XXIII;Ligustro;2;;;
Scuola Elementare Papa Giovanni XXIII;Cipresso;1;;;
Scuola Elementare Papa Giovanni XXIII;Chamaerops;4;;;
Scuola Elementare Papa Giovanni XXIII;Amelia;5;;;
Scuola Elementare Papa Giovanni XXIII;Platano;2;;;
Scuola Elementare Papa Giovanni XXIII;Thuya;1;;;
Scuola Elementare San Giovanni Bosco;Cercis  (area ingresso);6;;;
Scuola Elementare San Giovanni Bosco;Carrubo (area ingresso);2;;;
Scuola Elementare San Giovanni Bosco;Pino                                                                               ;6;;;
Scuola Elementare San Giovanni Bosco;Fruttifere;8;;;
Scuola Elementare San Giovanni Bosco;Cedro;2;;;
Scuola Elementare San Giovanni Bosco;Palme (di Gerusalemme, Trachicarpus);6;;;
Scuola Elementare San Giovanni Bosco;Yucca ;3;;;
Scuola Elementare San Giovanni Bosco;Chamaerops;4;;;
Scuola Elementare San Giovanni Bosco;Cipresso;1;;;
